Node_no.,x_coor,y_coor,u_x,u_y,u_x_low,u_y_low,u_x_high,u_y_high
1,0.0,0.0,1.2245106889247993e-18,0.0,1.8691644072532654e-06,1.8674880266189575e-05,2.4512410163879395e-05,-4.717707633972168e-05
2,1.0,0.0,0.3,0.0,0.2999885817989707,-3.8370490074157715e-07,0.3000633120536804,-9.462237358093262e-05
3,1.0,1.0,0.3,0.6,0.2999871145002544,0.5999915730208158,0.2999474108219147,0.6000499725341797
4,0.0,1.0,0.0,0.6,6.28642737865448e-06,0.6000095214694738,-0.00014509260654449463,0.599974125623703
5,0.0294117647058823,0.0,0.0088235294117646,0.0,0.008824949618428946,1.8240883946418762e-05,0.008849471807479858,-4.89652156829834e-05
6,0.0588235294117647,0.0,0.0176470588235293,0.0,0.017647923436015844,1.7795711755752563e-05,0.017674580216407776,-5.155801773071289e-05
7,0.0882352941176471,0.0,0.0264705882352939,0.0,0.02647100482136011,1.7292797565460205e-05,0.0264996737241745,-5.3435564041137695e-05
8,0.1176470588235295,0.0,0.0352941176470586,0.0,0.03529404802247882,1.6773119568824768e-05,0.03532470762729645,-5.480647087097168e-05
9,0.1470588235294119,0.0,0.0441176470588233,0.0,0.04411706142127514,1.631304621696472e-05,0.04414984583854675,-5.671381950378418e-05
10,0.1764705882352943,0.0,0.0529411764705879,0.0,0.052940135821700096,1.57821923494339e-05,0.05297426879405975,-5.888938903808594e-05
11,0.2058823529411766,0.0,0.0617647058823526,0.0,0.06176322232931852,1.5312805771827698e-05,0.061799660325050354,-6.0498714447021484e-05
12,0.235294117647059,0.0,0.0705882352941173,0.0,0.07058629486709833,1.4808028936386108e-05,0.07062432169914246,-6.264448165893555e-05
13,0.2647058823529414,0.0,0.079411764705882,0.0,0.07940935995429754,1.4267861843109131e-05,0.07944938540458679,-6.386637687683105e-05
14,0.2941176470588239,0.0,0.0882352941176466,0.0,0.08823248744010925,1.3789162039756775e-05,0.08827398717403412,-6.523728370666504e-05
15,0.3235294117647064,0.0,0.0970588235294113,0.0,0.09705556323751807,1.3248994946479797e-05,0.0970986932516098,-6.67870044708252e-05
16,0.3529411764705888,0.0,0.105882352941176,0.0,0.1058786641806364,1.2682750821113586e-05,0.10592357814311981,-6.86943531036377e-05
17,0.3823529411764713,0.0,0.1147058823529406,0.0,0.11470176139846444,1.2211501598358154e-05,0.11474825441837311,-7.000565528869629e-05
18,0.4117647058823538,0.0,0.1235294117647053,0.0,0.12352487398311496,1.163966953754425e-05,0.1235731989145279,-7.140636444091797e-05
19,0.4411764705882362,0.0,0.1323529411764699,0.0,0.13234804896637797,1.1069700121879578e-05,0.13239821791648865,-7.31050968170166e-05
20,0.4705882352941187,0.0,0.1411764705882346,0.0,0.1411711424589157,1.05295330286026e-05,0.14122271537780762,-7.453560829162598e-05
21,0.5000000000000011,0.0,0.1499999999999992,0.0,0.14999426249414682,9.961426258087158e-06,0.1500474363565445,-7.608532905578613e-05
22,0.5294117647058832,0.0,0.1588235294117637,0.0,0.15881743421778083,9.391456842422485e-06,0.15887200832366943,-7.766485214233398e-05
23,0.5588235294117656,0.0,0.1676470588235284,0.0,0.167640570551157,8.828938007354736e-06,0.16769655048847198,-7.88271427154541e-05
24,0.5882352941176479,0.0,0.1764705882352933,0.0,0.17646371433511376,8.23289155960083e-06,0.17652109265327454,-7.995963096618652e-05
25,0.6176470588235301,0.0,0.185294117647058,0.0,0.18528688326478004,7.646158337593079e-06,0.18534553050994873,-8.127093315124512e-05
26,0.6470588235294124,0.0,0.1941176470588227,0.0,0.19411002891138196,7.066875696182251e-06,0.19417014718055725,-8.276104927062988e-05
27,0.6764705882352946,0.0,0.2029411764705876,0.0,0.2029332285746932,6.450340151786804e-06,0.20299477875232697,-8.383393287658691e-05
28,0.7058823529411768,0.0,0.2117647058823524,0.0,0.2117564156651497,5.912035703659058e-06,0.2118193507194519,-8.481740951538086e-05
29,0.7352941176470592,0.0,0.2205882352941173,0.0,0.2205795729532838,5.284324288368225e-06,0.22064390778541565,-8.621811866760254e-05
30,0.7647058823529413,0.0,0.2294117647058822,0.0,0.22940280009061098,4.67151403427124e-06,0.2294682264328003,-8.720159530639648e-05
31,0.7941176470588236,0.0,0.2382352941176469,0.0,0.2382259862497449,4.071742296218872e-06,0.23829267919063568,-8.824467658996582e-05
32,0.823529411764706,0.0,0.2470588235294115,0.0,0.24704918218776584,3.4794211387634277e-06,0.24711716175079346,-8.922815322875977e-05
33,0.8529411764705882,0.0,0.2558823529411762,0.0,0.2558723562397063,2.8368085622787476e-06,0.2559414505958557,-9.042024612426758e-05
34,0.8823529411764703,0.0,0.2647058823529409,0.0,0.26469562016427517,2.1774321794509888e-06,0.2647661715745926,-9.131431579589844e-05
35,0.9117647058823528,0.0,0.2735294117647057,0.0,0.2735188496299088,1.5664845705032349e-06,0.27359016239643097,-9.244680404663086e-05
36,0.941176470588235,0.0,0.2823529411764705,0.0,0.28234205255284905,9.145587682723999e-07,0.28241464495658875,-9.328126907348633e-05
37,0.9705882352941172,0.0,0.2911764705882351,0.0,0.2911653174087405,2.682209014892578e-07,0.2912391871213913,-9.441375732421875e-05
38,1.0,0.0294117647058823,0.2999999999999999,0.0176470588235293,0.29998850356787443,0.017646415159106255,0.30006150901317596,0.017557770013809204
39,1.0,0.0588235294117647,0.2999999999999999,0.0352941176470586,0.29998848121613264,0.03529316559433937,0.30005985498428345,0.03521028161048889
40,1.0,0.0882352941176471,0.2999999999999999,0.052941176470588,0.29998847050592303,0.052940038964152336,0.30005820095539093,0.05286288261413574
41,1.0,0.1176470588235295,0.2999999999999999,0.0705882352941174,0.2999884425662458,0.07058680057525635,0.3000563532114029,0.0705152153968811
42,1.0,0.1470588235294119,0.3,0.0882352941176468,0.29998845467343926,0.08823358826339245,0.30005450546741486,0.08816766738891602
43,1.0,0.1764705882352943,0.2999999999999999,0.1058823529411761,0.29998836759477854,0.10588041506707668,0.30005237460136414,0.10581943392753601
44,1.0,0.2058823529411766,0.2999999999999999,0.1235294117647054,0.29998833825811744,0.1235271766781807,0.3000503182411194,0.123471200466156
45,1.0,0.235294117647059,0.2999999999999999,0.1411764705882347,0.29998830799013376,0.14117401093244553,0.30004751682281494,0.14112350344657898
46,1.0,0.2647058823529414,0.2999999999999999,0.158823529411764,0.2999882800504565,0.15882082097232342,0.3000451773405075,0.1587757170200348
47,1.0,0.2941176470588239,0.2999999999999999,0.1764705882352935,0.29998827166855335,0.17646763287484646,0.30004291236400604,0.1764279007911682
48,1.0,0.3235294117647064,0.3,0.1941176470588229,0.2999881994910538,0.1941144224256277,0.3000401109457016,0.1940794289112091
49,1.0,0.3529411764705888,0.2999999999999999,0.2117647058823523,0.2999881808646023,0.21176126785576344,0.30003713071346283,0.2117312252521515
50,1.0,0.3823529411764713,0.2999999999999999,0.2294117647058818,0.2999881193973124,0.22940809838473797,0.30003438889980316,0.22938272356987
51,1.0,0.4117647058823538,0.3,0.2470588235294114,0.29998809983953834,0.24705487117171288,0.30003149807453156,0.24703454971313477
52,1.0,0.4411764705882362,0.2999999999999999,0.2647058823529407,0.2999880285933614,0.26470171101391315,0.3000282794237137,0.26468589901924133
53,1.0,0.4705882352941187,0.2999999999999999,0.2823529411764702,0.29998801834881306,0.2823485527187586,0.30002516508102417,0.2823372185230255
54,1.0,0.5000000000000011,0.2999999999999999,0.2999999999999996,0.2999879978597164,0.2999953757971525,0.3000219911336899,0.29998883605003357
55,1.0,0.5294117647058832,0.3,0.3176470588235288,0.2999879033304751,0.3176422044634819,0.3000180274248123,0.3176398277282715
56,1.0,0.5588235294117656,0.2999999999999999,0.3352941176470581,0.299987914506346,0.3352890219539404,0.300014927983284,0.3352911174297333
57,1.0,0.5882352941176479,0.3,0.3529411764705873,0.2999878451228142,0.35293586552143097,0.30001117289066315,0.3529421091079712
58,1.0,0.6176470588235301,0.2999999999999999,0.370588235294117,0.2999877850525081,0.3705827370285988,0.30000728368759155,0.37059280276298523
