Node_no.,x_coor,y_coor,u_x,u_y,u_x_low,u_y_low,u_x_high,u_y_high
1,0.0,0.0,4.081702296415996e-19,0.0,-6.668269634246826e-07,-8.03917646408081e-06,-1.0639429092407227e-05,6.468221545219421e-05
2,1.0,0.0,0.1,0.0,0.09999866783618927,1.0594725608825684e-05,0.10013061761856079,-8.73953104019165e-06
3,1.0,1.0,0.1,0.2,0.10000425949692726,0.20000021159648895,0.09994721412658691,0.1999979466199875
4,0.0,1.0,0.0,0.1999999999999999,-8.478760719299316e-06,0.19998938590288162,-0.00014409422874450684,0.2000359296798706
5,0.0294117647058823,0.0,0.0029411764705882,0.0,0.002940431237220764,-7.592141628265381e-06,0.002934664487838745,6.074458360671997e-05
6,0.0588235294117647,0.0,0.0058823529411764,0.0,0.00588143989443779,-7.1302056312561035e-06,0.00587916374206543,5.6862831115722656e-05
7,0.0882352941176471,0.0,0.0088235294117646,0.0,0.008822552859783173,-6.735324859619141e-06,0.00882372260093689,5.3104013204574585e-05
8,0.1176470588235295,0.0,0.0117647058823528,0.0,0.011763650923967361,-6.206333637237549e-06,0.011768251657485962,4.9911439418792725e-05
9,0.1470588235294119,0.0,0.0147058823529411,0.0,0.014704734086990356,-5.81890344619751e-06,0.01471322774887085,4.675239324569702e-05
10,0.1764705882352943,0.0,0.0176470588235293,0.0,0.017645839601755142,-5.3122639656066895e-06,0.017658531665802002,4.3198466300964355e-05
11,0.2058823529411766,0.0,0.0205882352941175,0.0,0.020586945116519928,-4.820525646209717e-06,0.020603835582733154,3.965944051742554e-05
12,0.235294117647059,0.0,0.0235294117647057,0.0,0.023528046905994415,-4.366040229797363e-06,0.023548245429992676,3.699585795402527e-05
13,0.2647058823529414,0.0,0.026470588235294,0.0,0.026469171047210693,-3.91155481338501e-06,0.026493549346923828,3.419816493988037e-05
14,0.2941176470588239,0.0,0.0294117647058822,0.0,0.02941027283668518,-3.4123659133911133e-06,0.029438436031341553,3.1542032957077026e-05
15,0.3235294117647064,0.0,0.0323529411764704,0.0,0.032351355999708176,-2.8908252716064453e-06,0.03238341212272644,2.8543174266815186e-05
16,0.3529411764705888,0.0,0.0352941176470586,0.0,0.03529254347085953,-2.346932888031006e-06,0.03532892465591431,2.5685876607894897e-05
17,0.3823529411764713,0.0,0.0382352941176468,0.0,0.038233667612075806,-1.8551945686340332e-06,0.03827393054962158,2.275034785270691e-05
18,0.4117647058823538,0.0,0.0411764705882351,0.0,0.04117480292916298,-1.2889504432678223e-06,0.04121905565261841,2.0410865545272827e-05
19,0.4411764705882362,0.0,0.0441176470588233,0.0,0.044115979224443436,-8.270144462585449e-07,0.04416438937187195,1.8458813428878784e-05
20,0.4705882352941187,0.0,0.0470588235294115,0.0,0.04705710709095001,-2.682209014892578e-07,0.047109752893447876,1.576542854309082e-05
21,0.5000000000000011,0.0,0.0499999999999997,0.0,0.04999830573797226,3.427267074584961e-07,0.050054699182510376,1.3712793588638306e-05
22,0.5294117647058832,0.0,0.0529411764705879,0.0,0.05293944105505943,8.568167686462402e-07,0.05299961566925049,1.1663883924484253e-05
23,0.5588235294117656,0.0,0.0558823529411761,0.0,0.055880628526210785,1.385807991027832e-06,0.05594560503959656,9.667128324508667e-06
24,0.5882352941176479,0.0,0.0588235294117644,0.0,0.05882176011800766,1.914799213409424e-06,0.05889102816581726,7.465481758117676e-06
25,0.6176470588235301,0.0,0.0617647058823526,0.0,0.06176294386386871,2.5033950805664062e-06,0.06183621287345886,6.243586540222168e-06
26,0.6470588235294124,0.0,0.0647058823529409,0.0,0.06470410525798798,3.0994415283203125e-06,0.0647822916507721,3.766268491744995e-06
27,0.6764705882352946,0.0,0.0676470588235292,0.0,0.06764525920152664,3.7401914596557617e-06,0.06772765517234802,2.6337802410125732e-06
28,0.7058823529411768,0.0,0.0705882352941175,0.0,0.07058648765087128,4.276633262634277e-06,0.0706728994846344,9.126961231231689e-07
29,0.7352941176470592,0.0,0.0735294117647057,0.0,0.07352769002318382,4.9173831939697266e-06,0.07361862063407898,-5.699694156646729e-07
30,0.7647058823529413,0.0,0.076470588235294,0.0,0.07646891847252846,5.46872615814209e-06,0.0765642523765564,-2.2351741790771484e-06
31,0.7941176470588236,0.0,0.0794117647058822,0.0,0.07941009849309921,6.116926670074463e-06,0.07950961589813232,-3.293156623840332e-06
32,0.823529411764706,0.0,0.0823529411764704,0.0,0.08235130459070206,6.683170795440674e-06,0.08245554566383362,-3.978610038757324e-06
33,0.8529411764705882,0.0,0.0852941176470587,0.0,0.08529253676533699,7.331371307373047e-06,0.08540123701095581,-6.206333637237549e-06
34,0.8823529411764703,0.0,0.088235294117647,0.0,0.08823372423648834,7.964670658111572e-06,0.0883471667766571,-6.511807441711426e-06
35,0.9117647058823528,0.0,0.0911764705882352,0.0,0.09117496386170387,8.64267349243164e-06,0.09129208326339722,-6.4782798290252686e-06
36,0.941176470588235,0.0,0.0941176470588235,0.0,0.09411614760756493,9.231269359588623e-06,0.09423840045928955,-7.878988981246948e-06
37,0.9705882352941172,0.0,0.0970588235294117,0.0,0.09705742076039314,9.857118129730225e-06,0.09718412160873413,-8.448958396911621e-06
38,1.0,0.0294117647058823,0.1,0.0058823529411764,0.09999903663992882,0.005892649292945862,0.10012739896774292,0.005871657282114029
39,1.0,0.0588235294117647,0.1,0.0117647058823529,0.09999949485063553,0.011774793267250061,0.10012423992156982,0.011752992868423462
40,1.0,0.0882352941176471,0.1,0.0176470588235293,0.09999985247850418,0.01765693724155426,0.10012102127075195,0.017634201794862747
41,1.0,0.1176470588235295,0.1,0.0235294117647058,0.10000017285346985,0.023539021611213684,0.1001175045967102,0.02351481467485428
42,1.0,0.1470588235294119,0.1,0.0294117647058822,0.10000051558017731,0.029421135783195496,0.1001136302947998,0.029396522790193558
43,1.0,0.1764705882352943,0.1,0.0352941176470587,0.10000089928507805,0.035303257405757904,0.1001099944114685,0.035277947783470154
