Node_no.,x_coor,y_coor,u_x,u_y,u_x_low,u_y_low,u_x_high,u_y_high
1,0.0,0.0,4.081702296416029e-19,0.0,-6.225891411304474e-06,1.9118189811706543e-05,2.03549861907959e-05,-0.0001993998885154724
2,1.0,0.0,0.1,0.0,0.10001012310385704,-7.487833499908447e-07,0.09994420409202576,-6.101280450820923e-05
3,1.0,1.0,0.1,0.2,0.09999442845582962,0.19999144598841667,0.09988734126091003,0.19988032430410385
4,0.0,1.0,0.0,0.1999999999999999,4.343688488006592e-06,0.20000228472054005,2.73287296295166e-05,0.1999831721186638
5,0.0294117647058823,0.0,0.0029411764705882,0.0,0.0029343748465180397,1.755356788635254e-05,0.0029554367065429688,-0.00018524378538131714
6,0.0588235294117647,0.0,0.0058823529411764,0.0,0.005875032395124435,1.600012183189392e-05,0.005891293287277222,-0.00017186999320983887
7,0.0882352941176471,0.0,0.0088235294117647,0.0,0.008815747685730457,1.4534220099449158e-05,0.008826851844787598,-0.00015883147716522217
8,0.1176470588235295,0.0,0.0117647058823529,0.0,0.011756529100239277,1.3150274753570557e-05,0.011763572692871094,-0.00014679878950119019
9,0.1470588235294119,0.0,0.0147058823529411,0.0,0.014697394333779812,1.1764466762542725e-05,0.014700472354888916,-0.000135079026222229
10,0.1764705882352943,0.0,0.0176470588235294,0.0,0.017638330347836018,1.0501593351364136e-05,0.01763632893562317,-0.00012414157390594482
11,0.2058823529411766,0.0,0.0205882352941176,0.0,0.02057931199669838,9.281560778617859e-06,0.02057349681854248,-0.00011391937732696533
12,0.235294117647059,0.0,0.0235294117647058,0.0,0.023520363494753838,8.11740756034851e-06,0.023511052131652832,-0.0001041516661643982
13,0.2647058823529414,0.0,0.0264705882352941,0.0,0.026461470872163773,7.0035457611083984e-06,0.026447772979736328,-9.486079216003418e-05
14,0.2941176470588239,0.0,0.0294117647058823,0.0,0.029402654618024826,5.95487654209137e-06,0.029385000467300415,-8.609890937805176e-05
15,0.3235294117647064,0.0,0.0323529411764705,0.0,0.03234390914440155,5.0067901611328125e-06,0.03232315182685852,-7.817894220352173e-05
16,0.3529411764705888,0.0,0.0352941176470588,0.0,0.03528519254177809,4.081055521965027e-06,0.03526121377944946,-7.081031799316406e-05
17,0.3823529411764713,0.0,0.038235294117647,0.0,0.038226605392992496,3.2279640436172485e-06,0.0381987988948822,-6.388872861862183e-05
18,0.4117647058823538,0.0,0.0411764705882352,0.0,0.04116806015372276,2.430751919746399e-06,0.0411374568939209,-5.782395601272583e-05
19,0.4411764705882362,0.0,0.0441176470588234,0.0,0.04410952888429165,1.6614794731140137e-06,0.04407605528831482,-5.216151475906372e-05
20,0.4705882352941187,0.0,0.0470588235294117,0.0,0.04705109540373087,1.0263174772262573e-06,0.04701462388038635,-4.727393388748169e-05
21,0.5000000000000011,0.0,0.05,0.0,0.04999275039881468,3.855675458908081e-07,0.04995322227478027,-4.296004772186279e-05
22,0.5294117647058832,0.0,0.0529411764705882,0.0,0.05293445289134979,-1.6391277313232422e-07,0.05289262533187866,-3.900378942489624e-05
23,0.5588235294117656,0.0,0.0558823529411764,0.0,0.055876195430755615,-6.612390279769897e-07,0.05583161115646362,-3.606826066970825e-05
24,0.5882352941176479,0.0,0.0588235294117647,0.0,0.058818030171096325,-1.1064112186431885e-06,0.05877092480659485,-3.35201621055603e-05
25,0.6176470588235301,0.0,0.0617647058823529,0.0,0.061759935691952705,-1.4640390872955322e-06,0.06171104311943054,-3.167241811752319e-05
26,0.6470588235294124,0.0,0.0647058823529411,0.0,0.06470188032835722,-1.8049031496047974e-06,0.06465059518814087,-3.0212104320526123e-05
27,0.6764705882352946,0.0,0.0676470588235294,0.0,0.06764388829469681,-2.030283212661743e-06,0.06759083271026611,-2.9474496841430664e-05
28,0.7058823529411768,0.0,0.0705882352941176,0.0,0.07058596611022949,-2.21841037273407e-06,0.0705309510231018,-2.9318034648895264e-05
29,0.7352941176470592,0.0,0.0735294117647059,0.0,0.07352811191231012,-2.3618340492248535e-06,0.07347181439399719,-2.9824674129486084e-05
30,0.7647058823529413,0.0,0.0764705882352941,0.0,0.07647028937935829,-2.4009495973587036e-06,0.07641154527664185,-3.108382225036621e-05
31,0.7941176470588236,0.0,0.0794117647058824,0.0,0.07941256742924452,-2.4065375328063965e-06,0.0793522298336029,-3.2454729080200195e-05
32,0.823529411764706,0.0,0.0823529411764707,0.0,0.0823548985645175,-2.3655593395233154e-06,0.08229327201843262,-3.463774919509888e-05
33,0.8529411764705882,0.0,0.0852941176470589,0.0,0.08529729675501585,-2.25752592086792e-06,0.0852348804473877,-3.759562969207764e-05
34,0.8823529411764703,0.0,0.0882352941176471,0.0,0.08823973592370749,-2.0544975996017456e-06,0.08817702531814575,-4.09930944442749e-05
35,0.9117647058823528,0.0,0.0911764705882354,0.0,0.09118224587291479,-1.819804310798645e-06,0.09111747145652771,-4.4994056224823e-05
36,0.941176470588235,0.0,0.0941176470588236,0.0,0.09412483870983124,-1.519918441772461e-06,0.09406018257141113,-4.996359348297119e-05
37,0.9705882352941172,0.0,0.0970588235294118,0.0,0.09706747066229582,-1.1473894119262695e-06,0.09700289368629456,-5.5089592933654785e-05
